ST_NM,year,rain_mean_mm
Goa,1988,4458.2856124356385
Goa,1989,4060.154847364128
Goa,1990,5235.169904208184
Goa,1991,4564.854520662129
Goa,1992,4518.55731447041
Goa,1993,4736.6095755741
Goa,1994,6697.51756362468
Goa,1995,3965.0122053682803
Goa,1996,4193.456848627329
Goa,1997,5310.682305085659
Goa,1998,3781.9071648821237
Goa,1999,4401.137020637095
Goa,2000,4085.316795144975
Goa,2001,3199.4856585621833
Goa,2002,3127.254075744748
Goa,2003,3726.872614187002
Goa,2004,3859.5191806823013
Goa,2005,4913.140288001299
Goa,2006,6230.335934947431
Goa,2007,4728.124907535314
Goa,2008,4129.9286403134465
Goa,2009,4146.228736439347
Goa,2010,3889.5356904402374
Goa,2011,4510.266228970885
Goa,2012,3509.516082896292
Goa,2013,4247.575425830483
Goa,2014,3891.94745862484
Goa,2015,2520.7002204567193
Goa,2016,2598.1255221098663
Goa,2017,2767.1721671715377
Goa,2018,3695.2002749979497
Goa,2019,4837.13582201451
Goa,2020,4577.190810920298
Goa,2021,4240.4232025459405
Goa,2022,3886.47097402513
Goa,2023,3788.2231053421738
Goa,2024,5526.11279296875
Gujarat,1966,506.2894225488183
Gujarat,1967,816.6963469049242
Gujarat,1968,491.60768621575994
Gujarat,1969,551.0748341917474
Gujarat,1970,1074.445060099673
Gujarat,1971,620.7750192763838
Gujarat,1972,357.9602081202344
Gujarat,1973,769.8127194335505
Gujarat,1974,299.2316286182139
Gujarat,1975,906.2231335691158
Gujarat,1976,1104.0461132911585
Gujarat,1977,896.4886897827668
Gujarat,1978,710.1696615236089
Gujarat,1979,886.8043356914951
Gujarat,1980,708.1317998698722
Gujarat,1981,884.4748220352247
Gujarat,1982,561.2890998401236
Gujarat,1983,992.7027924209833
Gujarat,1984,660.8408749497651
Gujarat,1985,429.8199913808105
Gujarat,1986,399.0308159380633
Gujarat,1987,240.52599231070303
Gujarat,1988,907.0382639197309
Gujarat,1989,646.4449441934357
Gujarat,1990,772.7138732138978
Gujarat,1991,415.2425680236754
Gujarat,1992,725.7933952378893
Gujarat,1993,604.4680825938761
Gujarat,1994,1136.0198775362726
Gujarat,1995,507.5549511020593
Gujarat,1996,639.0850662072136
Gujarat,1997,829.9693840662427
Gujarat,1998,800.8035840757738
Gujarat,1999,493.63788988375063
Gujarat,2000,439.14407811670577
Gujarat,2001,657.3057878597938
Gujarat,2002,456.7291212990362
Gujarat,2003,911.8056669911535
Gujarat,2004,741.1513018534163
Gujarat,2005,956.0868872338223
Gujarat,2006,1078.0220021593123
Gujarat,2007,1012.6308877397055
Gujarat,2008,726.3005453326584
Gujarat,2009,646.6358029006416
Gujarat,2010,1094.3457132205367
Gujarat,2011,1055.651119403311
Gujarat,2012,567.2403154455442
Gujarat,2013,1020.9523757955627
Gujarat,2014,632.5436996821328
Gujarat,2015,620.0778531303564
Gujarat,2016,634.4063652274001
